Year,Game #,Date,Opponent,Score BG,Score Font,Rank BG,Rank Font
2012-13,NC12,12/15/12,vs. West Virginia,,,,
2012-13,NC13,12/15/12,vs. West Virginia,,,,
2012-13,nc14,12/20/12,Eastern Michigan,,,,
2012-13,nc15,12/29/12,Central Michigan,,,,
2012-13,g1,1/3/13,at Northwestern,,,,
2012-13,g2,1/6/13,Iowa,,,,
2012-13,g3,1/9/13,Nebraska,,,,
2012-13,g4,1/13/13,at Ohio State,,,,
2012-13,g5,1/17/13,at Minnesota,,,,
2012-13,g6,1/24/13,Purdue,,,,
2012-13,g7,1/27/13,at Illinois,,,,
2012-13,g8,1/30/13,Northwestern,,,,
2012-13,g9,2/2/13,at Indiana,,,,
2012-13,g10,2/5/13,Ohio State,,,,
2012-13,g11,2/9/13,at Wisconsin,,,,
2012-13,g12,2/12/13,at Michigan State,,,,
2012-13,g13,2/17/13,Penn State,,,,
2012-13,g14,2/24/13,Illinois,,,,
2012-13,g15,2/27/13,at Penn State,,,,
2012-13,g16,3/3/13,Michigan State,,,,
2012-13,g17,3/6/13,at Purdue,,,,
2012-13,g18,3/10/13,Indiana,,,,
2012-13,BTT Round 1,3/14/13,vs. Penn State,,,,
2012-13,BTT Quarters,3/15/13,vs. Wisconsin,,,,
2012-13,NCAA Round 1,3/21/13,vs. South Dakota State,,,,
2012-13,NCAA Round 2,3/23/13,vs. VCU,,,,
2012-13,NCAA Sweet Sixteen,3/29/13,vs. Kansas,,,,
2012-13,NCAA Elite Eight,3/31/13,vs. Florida,,,,
2012-13,NCAA Final Four,4/6/13,vs. Syracuse,,,,
2012-13,NCAA Championship,4/8/13,vs. Louisville,,,,
2013-14,nc1,11/8/13,UMass Lowell,,,,
2013-14,nc2,11/12/13,South Carolina State,,,,
2013-14,NC3,11/17/13,at Iowa State,,,,
2013-14,nc4,11/21/13,vs. Long Beach State,,,,
2013-14,NC5,11/22/13,vs. Florida State,,,,
2013-14,nc6,11/24/13,vs. Charlotte,,,,
2013-14,nc7,11/29/13,Coppin State,,,,
2013-14,NC8,12/3/13,at Duke,,,,
2013-14,nc9,12/7/13,Houston Christian,,,,
2013-14,NC10,12/14/13,Arizona,,,,
2013-14,NC11,12/21/13,vs. Stanford,,,,
2013-14,nc12,12/28/13,Holy Cross,,,,
2013-14,g1,1/2/14,at Minnesota,,,,
2013-14,g2,1/5/14,Northwestern,,,,
2013-14,g3,1/9/14,at Nebraska,,,,
2013-14,g4,1/14/14,Penn State,,,,
2013-14,g5,1/18/14,at Wisconsin,,,,
2013-14,g6,1/22/14,Iowa,,,,
2013-14,g7,1/25/14,at Michigan State,,,,
2013-14,g8,1/30/14,Purdue,,,,
2013-14,g9,2/2/14,at Indiana,,,,
2013-14,g10,2/5/14,Nebraska,,,,
2013-14,g11,2/8/14,at Iowa,,,,
2013-14,g12,2/11/14,at Ohio State,,,,
2013-14,g13,2/16/14,Wisconsin,,,,
2013-14,g14,2/23/14,Michigan State,,,,
2013-14,g15,2/26/14,at Purdue,,,,
2013-14,g16,3/1/14,Minnesota,,,,
2013-14,g17,3/4/14,at Illinois,,,,
2013-14,g18,3/8/14,Indiana,,,,
2013-14,BTT Quarters,3/14/14,vs. Illinois,,,,
2013-14,BTT Semis,3/15/14,vs. Ohio State,,,,
2013-14,BTT Championship,3/16/14,vs. Michigan State,,,,
2013-14,NCAA Round 1,3/20/14,vs. Wofford,,,,
2013-14,NCAA Round 2,3/22/14,vs. Texas,,,,
2013-14,NCAA Sweet Sixteen,3/28/14,vs. Tennessee,,,,
2013-14,NCAA Elite Eight,3/30/14,vs. Kentucky,,,,
2014-15,nc1,11/15/14,Hillsdale,,,,
2014-15,nc2,11/17/14,Bucknell,,,,
2014-15,nc3,11/20/14,Detroit Mercy,,,,
2014-15,NC4,11/24/14,vs. Oregon,,,,
2014-15,NC5,11/25/14,vs. Villanova,,,,
2014-15,nc6,11/29/14,Nicholls,,,,
2014-15,NC7,12/2/14,Syracuse,,,,
2014-15,nc8,12/6/14,NJIT,,,,
2014-15,nc9,12/9/14,Eastern Michigan,,,,
2014-15,NC10,12/13/14,at Arizona,,,,
2014-15,nc11,12/20/14,Southern Methodist,,,,
2014-15,nc12,12/22/14,Coppin State,,,,
2014-15,g1,12/30/14,Illinois,,,,
2014-15,g2,1/3/15,at Purdue,,,,
2014-15,g3,1/6/15,at Penn State,,,,
2014-15,g4,1/10/15,Minnesota,,,,
2014-15,g5,1/13/15,at Ohio State,,,,
2014-15,g6,1/17/15,Northwestern,,,,
2014-15,g7,1/20/15,at Rutgers,,,,
2014-15,g8,1/24/15,Wisconsin,,,,
2014-15,g9,1/27/15,Nebraska,,,,
2014-15,g10,2/1/15,at Michigan State,,,,
2014-15,g11,2/5/15,Iowa,,,,
2014-15,g12,2/8/15,at Indiana,,,,
2014-15,g13,2/12/15,at Illinois,,,,
2014-15,g14,2/17/15,Michigan State,,,,
2014-15,g15,2/22/15,Ohio State,,,,
2014-15,g16,2/28/15,at Maryland,,,,
2014-15,g17,3/3/15,at Northwestern,,,,
2014-15,g18,3/7/15,Rutgers,,,,
2014-15,BTT Round 2,3/12/15,vs. Illinois,,,,
2014-15,BTT Quarters,3/13/15,vs. Wisconsin,,,,
2015-16,nc1,11/13/15,Northern Michigan,,,,
2015-16,nc2,11/16/15,Elon,,,,
2015-16,NC3,11/20/15,Xavier,,,,
2015-16,nc4,11/25/15,vs. Connecticut,,,,
2015-16,nc5,11/26/15,vs. Charlotte,,,,
2015-16,NC6,11/27/15,vs. Texas,,,,
2015-16,NC7,12/1/15,at NC State,,,,
2015-16,nc8,12/5/15,Houston Christian,,,,
2015-16,nc9,12/8/15,at Southern Methodist,,,,
2015-16,nc10,12/12/15,Delaware State,,,,
2015-16,nc11,12/15/15,Northern Kentucky,,,,
2015-16,nc12,12/19/15,Youngstown State,,,,
2015-16,nc13,12/23/15,Bryant,,,,
2015-16,g1,12/30/15,at Illinois,,,,
2015-16,g2,1/2/16,Penn State,,,,
2015-16,g3,1/7/16,at Purdue,,,,
2015-16,g4,1/12/16,Maryland,,,,
2015-16,g5,1/17/16,at Iowa,,,,
2015-16,g6,1/20/16,Minnesota,,,,
2015-16,g7,1/23/16,at Nebraska,,,,
2015-16,g8,1/27/16,Rutgers,,,,
2015-16,g9,1/30/16,vs. Penn State,,,,
2015-16,g10,2/2/16,Indiana,,,,
2015-16,g11,2/6/16,Michigan State,,,,
2015-16,g12,2/10/16,at Minnesota,,,,
2015-16,g13,2/13/16,Purdue,,,,
2015-16,g14,2/16/16,at Ohio State,,,,
2015-16,g15,2/21/16,at Maryland,,,,
2015-16,g16,2/24/16,Northwestern,,,,
2015-16,g17,2/28/16,at Wisconsin,,,,
2015-16,g18,3/5/16,Iowa,,,,
2015-16,BTT Round 2,3/10/16,vs. Northwestern,,,,
2015-16,BTT Quarters,3/11/16,vs. Indiana,,,,
2015-16,BTT Semis,3/12/16,vs. Purdue,,,,
2015-16,NCAA First Four,3/16/16,vs. Tulsa,,,,
2015-16,NCAA Round 1,3/18/16,vs. Notre Dame,,,,
2016-17,nc1,11/11/16,Howard,,,,
2016-17,nc2,11/13/16,IU Indianapolis,,,,
2016-17,NC3,11/17/16,vs. Marquette,,,,
2016-17,nc4,11/18/16,vs. Southern Methodist,,,,
2016-17,NC5,11/23/16,at South Carolina,,,,
2016-17,nc6,11/26/16,Mount St. Mary's,,,,
2016-17,NC7,11/30/16,Virginia Tech,,,,
2016-17,nc8,12/3/16,Kennesaw State,,,,
2016-17,NC9,12/6/16,Texas,,,,
2016-17,NC10,12/10/16,at UCLA,,,,
2016-17,nc11,12/13/16,Central Arkansas,,,,
2016-17,nc12,12/17/16,Maryland Eastern Shore,,,,
2016-17,nc13,12/22/16,Furman,,,,
2016-17,g1,1/1/17,at Iowa,,,,
2016-17,g2,1/4/17,Penn State,,,,
2016-17,g3,1/7/17,Maryland,,,,
2016-17,g4,1/11/17,at Illinois,,,,
2016-17,g5,1/14/17,Nebraska,,,,
2016-17,g6,1/17/17,at Wisconsin,,,,
2016-17,g7,1/21/17,Illinois,,,,
2016-17,g8,1/26/17,Indiana,,,,
2016-17,g9,1/29/17,at Michigan State,,,,
2016-17,g10,2/4/17,Ohio State,,,,
2016-17,g11,2/7/17,Michigan State,,,,
2016-17,g12,2/12/17,at Indiana,,,,
2016-17,g13,2/16/17,Wisconsin,,,,
2016-17,g14,2/19/17,at Minnesota,,,,
2016-17,g15,2/22/17,at Rutgers,,,,
2016-17,g16,2/25/17,Purdue,,,,
2016-17,g17,3/1/17,at Northwestern,,,,
2016-17,g18,3/5/17,at Nebraska,,,,
2016-17,BTT Round 2,3/9/17,vs. Illinois,,,,
2016-17,BTT Quarters,3/10/17,vs. Purdue,,,,
2016-17,BTT Semis,3/11/17,vs. Minnesota,,,,
2016-17,BTT Championship,3/12/17,vs. Wisconsin,,,,
2016-17,NCAA Round 1,3/17/17,vs. Oklahoma State,,,,
2016-17,NCAA Round 2,3/19/17,vs. Louisville,,,,
2016-17,NCAA Sweet Sixteen,3/23/17,vs. Oregon,,,,
2017-18,nc1,11/11/17,North Florida,,,,
2017-18,nc2,11/13/17,Central Michigan,,,,
2017-18,nc3,11/16/17,Southern Miss,,,,
2017-18,NC4,11/20/17,vs. Louisiana State,,,,
2017-18,nc5,11/21/17,vs. Chaminade,,,,
2017-18,nc6,11/22/17,vs. VCU,,,,
2017-18,nc7,11/26/17,UC Riverside,,,,
2017-18,NC8,11/29/17,at North Carolina,,,,
2017-18,g1,12/2/17,Indiana,,,,
2017-18,g2,12/4/17,at Ohio State,,,,
2017-18,NC9,12/9/17,UCLA,,,,
